Order_ID,Order_Date,Product_Category,Customer_Location,Marketing_Channel,Supplier_ID,Price,Customer_Rating
O100000,2025-05-01,Home & Kitchen,Delhi,Referral,Supplier_1,3252.76,3
O100001,2025-05-01,Beauty,Mumbai,Referral,Supplier_20,2219.55,1
O100002,2025-05-01,Books,Hyderabad,Direct,Supplier_1,4013.89,3
O100003,2025-05-01,Beauty,Mumbai,Social Media,Supplier_19,3826.24,2
O100004,2025-05-01,Beauty,Bangalore,Social Media,Supplier_2,1629.44,1
O100005,2025-05-01,Clothing,Mumbai,Direct,Supplier_12,3543.37,2
O100006,2025-05-01,Books,Kolkata,Direct,Supplier_13,2523.3,5
O100007,2025-05-01,Books,Kolkata,Referral,Supplier_14,1684.13,5
O100008,2025-05-01,Books,Mumbai,Referral,Supplier_5,2123.54,4
O100009,2025-05-01,Beauty,Chennai,Social Media,Supplier_3,4487.22,1
O100010,2025-05-01,Home & Kitchen,Bangalore,Referral,Supplier_17,1861.64,5
O100011,2025-05-01,Books,Delhi,Referral,Supplier_1,1508.26,4
O100012,2025-05-01,Toys,Mumbai,Social Media,Supplier_14,1823.86,1
O100013,2025-05-01,Beauty,Delhi,Direct,Supplier_6,1151.63,2
O100014,2025-05-01,Clothing,Bangalore,Social Media,Supplier_17,2768.71,3
O100015,2025-05-01,Home & Kitchen,Mumbai,Email,Supplier_4,822.44,3
O100016,2025-05-01,Toys,Chennai,Social Media,Supplier_6,4105.47,2
O100017,2025-05-01,Toys,Hyderabad,Email,Supplier_1,1205.34,5
O100018,2025-05-01,Clothing,Chennai,Social Media,Supplier_9,3030.47,3
O100019,2025-05-01,Home & Kitchen,Chennai,Email,Supplier_4,712.62,2
O100020,2025-05-01,Beauty,Hyderabad,Email,Supplier_9,4894.42,4
O100021,2025-05-01,Electronics,Hyderabad,Social Media,Supplier_9,2327.42,4
O100022,2025-05-01,Home & Kitchen,Kolkata,Referral,Supplier_13,4128.64,2
O100023,2025-05-01,Clothing,Hyderabad,Search Engine,Supplier_17,3866.37,1
O100024,2025-05-01,Toys,Mumbai,Referral,Supplier_3,3597.1,5
O100025,2025-05-01,Beauty,Delhi,Email,Supplier_6,4154.09,5
O100026,2025-05-01,Home & Kitchen,Kolkata,Social Media,Supplier_20,592.27,2
